Name,Industry,Sector,Headquarters,Founded,Notes
Atlas Group,Conglomerates,-,Karachi[15],1962,"Aluminium products, automobiles, engineering, financials, industrials, power"
Attock Cement,Industrials,Cement,Karachi,1981,"Cement, subsidiary of Attock Oil Company (UK)"
Attock Petroleum,Energy,Oil Refining and Marketing,Rawalpindi,1998,"Retail fuel marketing & refinery, subsidiary of Attock Oil Company (UK)"
Avari Hotels,Consumer services,Hotels and Motels,Karachi,1944,Hospitality
Axact,Technology,Software and Computer Services,Karachi,1997,"IT services, software, consulting & media holding company"
Bahria Foundation,Real Estate,Real Estate Holding and Development,Karachi,1982,State-owned real estate developer
Bahria Town,Real Estate,Real Estate Holding and Development,Rawalpindi,1996[16],Real estate developer
Bank Al Habib,Financials,Banks,Karachi,1991,"Commercial bank, owned by House of Habib"
Bank of Azad Jammu & Kashmir,Financials,Banks,Muzaffarabad,2005,"Commercial bank, owned by Government of Azad Kashmir"
Bank of Credit and Commerce International,Financials,Banks,Karachi,1972,"Bank, defunct 1991"
Bank of Khyber,Financials,Banks,Peshawar,1991,"Commercial bank, owned by Government of Khyber Pakhtunkhwa"
Bank of Punjab,Financials,Banks,Lahore,1989,"Commercial bank, owned by Government of Punjab"
Bareezé,Consumer goods,Clothing and Accessories,Lahore,1985,Luxury fashion
Bestway Cement,Industrials,Cement,Islamabad,1993,"Cement, subsidiary of Bestway Group (UK)"
Bhoja Air,Consumer services,Airlines,Karachi,1993,"Private airline, defunct"
Bibojee Group,Conglomerates,-,Karachi,1981,"Automobiles, constructions, financials, insurance, textiles, tyres"
BOL Network,Consumer services,Media,Karachi,2013,"Media, television, owned by Axact"
Brighto Paints,Industrials,Paints and Coatings,Lahore,1973,Paints
Burj Bank,Financials,Banks,Karachi,2006,"Bank, defunct 2016, merged into Al Baraka Bank"
Business Recorder,Consumer services,Media,Karachi,1965,Media holding company
Bykea,Consumer services,Auto Services,Karachi,2016,Bike cabs
CA Sports,Consumer goods,Recreational Products,Sialkot,1958,"Sports goods, sportswear"
Chenab Group,Basic materials,Textile Products,Faisalabad,1974,Textile manufacturer
Cnergyico,Energy,Oil Refining,Karachi,1995,"Fuel refinery, subsidiary of Cnergyico Industries Incorporated (Mauritius/Pakistan)"
Daily Express,Consumer services,Publishing,Karachi,1998,"Newspaper, part of Lakson Group"
Dalda,Consumer goods,Food Producers,Karachi,1937,"Cooking Oil & ghee, dairy products, snacks, joint venture with Westbury Group"
Dawlance,Consumer goods,Consumer Electronics,Karachi,1980,"Electronics and home appliances, owned by Arçelik (Turkey)"
Dawn Group of Newspapers,Consumer services,Publishing,Karachi,1941,"Newspaper (English), part of Dawn Media Group"
Dawn Media Group,Consumer services,Media,Karachi,1947,Media holding company
Dawood Hercules Corporation,Conglomerates,-,Karachi,1968,"Automobiles, investments & holdings, various sectors"
Defence Housing Authority,Real Estate,Real Estate Holding and Development,Lahore,1975,State-owned real estate developer
Descon,Industrials,Diversified Industrials,Lahore,1977,"Chemicals, constructions, engineering, power generation"
Dewan Farooque Motors,Consumer goods,Automobiles,Karachi,1998,"Cars & commercial vehicles manufacturer, joint venture of Yousuf Dewan Companies & Kia (South Korea), HONRI (China)"
DG Khan Cement,Industrials,Cement,Lahore,1986,"Cement, subsidiary of Nishat Group"
Dr. Ziauddin Hospitals,Health care,Health Care Providers,Karachi,1957,Hospitals
DYL Motorcycles,Consumer goods,Automobiles,Hub,1976,"Motorcycles manufacturer, joint venture of Dawood Hercules Corporation & Yamaha Motor (Japan)"
EFU Life,Financials,Life insurance,Karachi,1932,"Life & health insurance, owned by JS Group"
English Biscuit Manufacturers,Consumer goods,Food Producers,Karachi,1966,"Confectionery, Peek Freans brand"
Engro Corporation,Conglomerates,-,Karachi,1957,"Chemicals, energy, fertilizers, foods, petrochemicals & polymers"
Engro Fertilizers,Chemicals,Fertilizers,Karachi,2010,"Fertilizers, subsidiary of Engro Corporation"
Engro Polymer & Chemical,Chemicals,Specialty Chemicals,Karachi,1997,"Chemicals & polymers, subsidiary of Engro Corporation"
Eveready Pictures,Consumer services,Media,Karachi,1947,Films and dramas production & distribution
FrieslandCampina Engro,Consumer goods,Food Producers,Karachi,2005,"Dairy products Olper's & Omoré brands, joint venture of Engro Corporation & FrieslandCampina (Netherlands)"
Express Media Group,Consumer services,Media,Karachi,2008,"Media holding company, owned by Lakson Group"
Fauji Fertilizer Company,Chemicals,Fertilizers,Rawalpindi,1978,"Fertilizers, subsidiary of Fauji Foundation"
Fauji Foods,Consumer goods,Food Producers,Lahore,1966,"Food products, subsidiary of Fauji Foundation"
Fauji Foundation,Conglomerates,-,Rawalpindi,1954,"Cement, chemicals, financials, food, oil & gas, power"
Faysal Bank,Financials,Banks,Karachi,1994,Commercial bank
Fecto Group,Conglomerates,-,Lahore,1952,"Cement, paper products, sugar mills, tractors, boards"
Ferozsons,Consumer services,Publishing,Lahore,1894,Book publisher
First Women Bank,Financials,Banks,Karachi,1989,Government bank
Fly Jinnah,Consumer services,Airlines,Karachi,2021,"Private airline, joint venture of Lakson Group & Air Arabia (UAE)"
Forward Sports,Consumer goods,Recreational Products,Sialkot,1991,"Sports goods, sportswear"
Frontier Works Organization,Industrials,Construction,Rawalpindi,1966,State-owned transportation infrastructure
GTR,Consumer goods,Tires,Karachi,1963,"Tyres manufacturer, joint venture of Bibojee Group & Continental AG (Germany)"
Geo Television Network,Consumer services,Media,Karachi,2002,"Media, television, owned by Independent Media Corporation"
Ghandhara Automobiles,Consumer goods,Automobiles,Karachi,1981,"Cars & commercial vehicles manufacturer, joint venture of Bibojee Group & Nissan (Japan), Renault Trucks (France), Chery, Dongfeng, JAC (China)"
Ghandhara Industries,Industrials,Commercial Vehicles and Parts,Karachi,1953,"Commercial vehicles manufacturer, joint venture of Bibojee Group & Isuzu (Japan)"
Ghani Group,Conglomerates,-,Lahore,1959,"Food, mining, poultry & rock salt products"
Global Industrial Defence Solutions,Industrials,Aerospace and Defense,Rawalpindi,2007,"State-owned drone, electronics, military equipment, munitions"
Gourmet Foods,Consumer goods,Food Producers,Lahore,1987,"Bakery chain, food retailer"
Gul Ahmed,Consumer goods,Clothing and Accessories,Karachi,1953,Apparel & accessories
Gwadar Port Authority,Industrials,Transportation Services,Gwadar,2016,"State-owned Gwadar, Balochistan seaport operations"
HabibMetro,Financials,Banks,Karachi,1992,"Commercial bank, subsidiary of Habib Bank AG Zurich (Pakistan/Switzerland) which is owned by House of Habib"
Hafiz Sohan Halwa,Consumer goods,Food Producers,Multan,1963,Confectionery products
Hamdard Laboratories,Health care,Herbal Producers,Karachi,1906,Alternative medicines
Hascol Petroleum,Energy,Oil Refining and Marketing,Karachi,2001,"Retail fuel marketing & refinery, authorized distributor & supplier of Fuchs Petrolub (Germany) lubricants"
Hashoo Group,Conglomerates,-,Karachi,1960,"Chemicals, financials, mining, pharmaceuticals, technology, tourism"
Habib Bank,Financials,Banks,Karachi,1941,"Commercial bank, owned by Aga Khan Fund for Economic Development (Switzerland)"
Heavy Electrical Complex,Industrials,Industrial Engineering,Haripur,?,Power transformer manufacturer
Heavy Industries Taxila,Industrials,Defense,Taxila,1971,State-owned armoured defense equipment & military vehicles manufacturer
Heavy Mechanical Complex,Industrials,Diversified Industrials,Taxila,1979,"State-owned heavy construction equipment, machinery, plant engineering & infrastructures"
Hinopak Motors,Industrials,Commercial Vehicles and Parts,Karachi,1985,"Commercial vehicles manufacturer, subsidiary of Hino (Japan)"
Honda Atlas Cars,Consumer goods,Automobiles,Karachi,1992,"Cars manufacturer, joint venture of Atlas Group & Honda (Japan)"
House of Habib,Conglomerates,-,Karachi,1841[17],"Automobiles, education, financials, industrials, oil & gas, technology"
Hub Power Company,Utilities,Alternative Electricity,Hub,1991,Thermal power generation
Hum Network Limited,Consumer services,Media,Karachi,2004,Media holding company
Hyundai Nishat Motors,Consumer goods,Automobiles,Lahore,2017,"Cars manufacturer, joint venture of Nishat Group & Hyundai (South Korea)"
Lucky Core Industries,Chemicals,Specialty Chemicals,Karachi,1944,"Paints, polyesters, pharmaceuticals, agrichemicals and soda ash, owned by Yunus Brothers Group"
Lucky Motor,Consumer goods,Automobiles,Karachi,2017,"Cars manufacturer, joint venture of Yunus Brothers Group & Kia (South Korea), Peugeot (France)"
Imtiaz Super Market,Retail,Diversified Retailers,Karachi,1955,Supermarket & hypermarket chain.
Independent Media Corporation,Consumer services,Media,Karachi,1945,Media holding company
Indus Motor,Consumer goods,Automobiles,Karachi,1990,"Cars manufacturer, joint venture of House of Habib & Toyota (Japan)"
Industrial Development Bank,Financials,Banks,Karachi,1961,Government financial bank
Instaphone,Telecommunications,Telecommunications Service Providers,Islamabad,1991,"Fixed-line telecommunications, defunct 2008, joint venture of Arfeen Group & Millicom (Luxembourg)"
Integrated Dynamics,Industrials,Aerospace and Defense,Karachi,?,"drone, electronics, military equipment"
Interloop Limited,Basic materials,Textile Products,Faisalabad,1992,B2B textile products manufacturer
International Steels Limited,Basic materials,Iron and Steel,Karachi,2007,Steel
Ismail Industries,Consumer goods,Food Producers,Karachi,1988,"Confectionery, snacks, owns CandyLand, Bisconni and SnackCity brands"
Ittefaq Group,Basic materials,Iron and Steel,Lahore,1939,"Steel, defunct 2004, acquired by Ittefaq Iron Industries"
